url,page_type,status,canonical,in_sitemap,word_count_main_content,title,meta_description,h1_count,internal_inlinks,unique_images,schema_types,near_duplicate_candidate,content_source,last_modified,flags
https://www.poshaktaranom.ir/products/linen-pants-arsa,pdp,200,https://www.poshaktaranom.ir/products/linen-pants-arsa,yes,0,شلوار لینن زنانه مدل آرسا | پوشاک ترنم,,1,20,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/linen-pants-hasty,pdp,200,https://www.poshaktaranom.ir/products/linen-pants-hasty,yes,0,شلوار لینن زنانه مدل هستی | پوشاک ترنم,,1,20,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/cotton-crop-jacket-aramis,pdp,200,https://www.poshaktaranom.ir/products/cotton-crop-jacket-aramis,yes,0,کت کراپ کتان زنانه مدل آرامیس | پوشاک ترنم,,1,20,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/coats00011,pdp,200,https://www.poshaktaranom.ir/products/coats00011,yes,0,کت شنل زنانه مدل پریما | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/cotton-tracksuit-set-tara,pdp,200,https://www.poshaktaranom.ir/products/cotton-tracksuit-set-tara,yes,0,ست سوئیشرت و شلوار دورس زنانه مدل تارا | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/teddy-hoodie-sweatshirt-good,pdp,200,https://www.poshaktaranom.ir/products/teddy-hoodie-sweatshirt-good,yes,0,سوئیشرت تدی کلاهدار زنانه مدل گود | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/patterned-french-terry-shirt,pdp,200,https://www.poshaktaranom.ir/products/patterned-french-terry-shirt,yes,0,شکت فوتر طرحدار زنانه (قد ۸۰) | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/woolen-coat-maral,pdp,200,https://www.poshaktaranom.ir/products/woolen-coat-maral,yes,0,پالتو پشمی زنانه مدل مارال (قد ۱۰۰) | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/footer-coat-arka,pdp,200,https://www.poshaktaranom.ir/products/footer-coat-arka,yes,0,کت فوتر زنانه مدل آرکا | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
https://www.poshaktaranom.ir/products/chenille-coat-negin,pdp,200,https://www.poshaktaranom.ir/products/chenille-coat-negin,yes,0,کت شنل زنانه مدل نگین | پوشاک ترنم,,1,12,,OnlineStore|WebSite|Product|ProductGroup|BreadcrumbList,unknown_without_gsc_pair,live_html,,WORDCOUNT_UNRELIABLE_RSC|TECHNICALLY_CLEAN
