url,source,entity_type,entity_id,status_code,final_url,redirect_hops,canonical,robots_meta,x_robots_tag,in_sitemap,internal_links_to_url,index_intent,notes
https://www.poshaktaranom.ir,sitemap,home,,200,https://www.poshaktaranom.ir,0,https://www.poshaktaranom.ir,"index, follow",,yes,47,INDEX,
https://www.poshaktaranom.ir/products,sitemap,products,,200,https://www.poshaktaranom.ir/products,0,https://www.poshaktaranom.ir/products,"index, follow",,yes,99,INDEX,
https://www.poshaktaranom.ir/collections,sitemap,page,,200,https://www.poshaktaranom.ir/collections,0,https://www.poshaktaranom.ir/collections,"index, follow",,yes,46,INDEX,
https://www.poshaktaranom.ir/blog,sitemap,blog_index,,200,https://www.poshaktaranom.ir/blog,0,https://www.poshaktaranom.ir/blog,"index, follow",,yes,25,INDEX,
https://www.poshaktaranom.ir/about,sitemap,page,,200,https://www.poshaktaranom.ir/about,0,https://www.poshaktaranom.ir/about,"index, follow",,yes,46,INDEX,
https://www.poshaktaranom.ir/contact,sitemap,page,,200,https://www.poshaktaranom.ir/contact,0,https://www.poshaktaranom.ir/contact,"index, follow",,yes,46,INDEX,
https://www.poshaktaranom.ir/shipping,sitemap,page,,200,https://www.poshaktaranom.ir/shipping,0,https://www.poshaktaranom.ir/shipping,"index, follow",,yes,23,INDEX,
https://www.poshaktaranom.ir/returns,sitemap,page,,200,https://www.poshaktaranom.ir/returns,0,https://www.poshaktaranom.ir/returns,"index, follow",,yes,23,INDEX,
https://www.poshaktaranom.ir/products/linen-sport-jacket-erika,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-sport-jacket-erika,0,https://www.poshaktaranom.ir/products/linen-sport-jacket-erika,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/bezayagh-jacket-rose,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/bezayagh-jacket-rose,0,https://www.poshaktaranom.ir/products/bezayagh-jacket-rose,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/cotton-vest-pants-set-nazi,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-vest-pants-set-nazi,0,https://www.poshaktaranom.ir/products/cotton-vest-pants-set-nazi,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/jacquard-jacket-pardis,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/jacquard-jacket-pardis,0,https://www.poshaktaranom.ir/products/jacquard-jacket-pardis,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/woolen-teddy-manteau-rasta,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/woolen-teddy-manteau-rasta,0,https://www.poshaktaranom.ir/products/woolen-teddy-manteau-rasta,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/woolen-kaftan-noora,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/woolen-kaftan-noora,0,https://www.poshaktaranom.ir/products/woolen-kaftan-noora,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/kapshan-bamber-65,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/kapshan-bamber-65,0,https://www.poshaktaranom.ir/products/kapshan-bamber-65,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-golrokh,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-golrokh,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-golrokh,"index, follow",,yes,24,INDEX,
https://www.poshaktaranom.ir/products/linen-embroidered-manteau-nastaran,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-embroidered-manteau-nastaran,0,https://www.poshaktaranom.ir/products/linen-embroidered-manteau-nastaran,"index, follow",,yes,24,INDEX,
https://www.poshaktaranom.ir/products/linen-pants-arsa,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-pants-arsa,0,https://www.poshaktaranom.ir/products/linen-pants-arsa,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/linen-pants-hasty,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-pants-hasty,0,https://www.poshaktaranom.ir/products/linen-pants-hasty,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/cotton-crop-jacket-aramis,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-crop-jacket-aramis,0,https://www.poshaktaranom.ir/products/cotton-crop-jacket-aramis,"index, follow",,yes,20,INDEX,
https://www.poshaktaranom.ir/products/coats00011,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/coats00011,0,https://www.poshaktaranom.ir/products/coats00011,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/cotton-tracksuit-set-tara,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-tracksuit-set-tara,0,https://www.poshaktaranom.ir/products/cotton-tracksuit-set-tara,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/teddy-hoodie-sweatshirt-good,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/teddy-hoodie-sweatshirt-good,0,https://www.poshaktaranom.ir/products/teddy-hoodie-sweatshirt-good,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/patterned-french-terry-shirt,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/patterned-french-terry-shirt,0,https://www.poshaktaranom.ir/products/patterned-french-terry-shirt,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/woolen-coat-maral,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/woolen-coat-maral,0,https://www.poshaktaranom.ir/products/woolen-coat-maral,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/footer-coat-arka,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/footer-coat-arka,0,https://www.poshaktaranom.ir/products/footer-coat-arka,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/chenille-coat-negin,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/chenille-coat-negin,0,https://www.poshaktaranom.ir/products/chenille-coat-negin,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/lyocell-jacket-jacqueline,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/lyocell-jacket-jacqueline,0,https://www.poshaktaranom.ir/products/lyocell-jacket-jacqueline,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/memory-lined-raincoat-110,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/memory-lined-raincoat-110,0,https://www.poshaktaranom.ir/products/memory-lined-raincoat-110,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/woolen-overcoat-athena,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/woolen-overcoat-athena,0,https://www.poshaktaranom.ir/products/woolen-overcoat-athena,"index, follow",,yes,12,INDEX,
https://www.poshaktaranom.ir/products/chenille-coat-mahour,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/chenille-coat-mahour,0,https://www.poshaktaranom.ir/products/chenille-coat-mahour,"index, follow",,yes,12,INDEX,
