channel,url,status,redirect_location,noindex,canonical,canonical_ok,problems
WHOLESALE,https://poshaktaranom.com/products/blouses00012,200,,,https://poshaktaranom.com/products/blouses00012,yes,
WHOLESALE,https://poshaktaranom.com/products/pants00001,200,,,https://poshaktaranom.com/products/pants00001,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00011,200,,,https://poshaktaranom.com/products/blouses00011,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00010,200,,,https://poshaktaranom.com/products/blouses00010,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00009,200,,,https://poshaktaranom.com/products/blouses00009,yes,
WHOLESALE,https://poshaktaranom.com/products/vests-skirts00001,200,,,https://poshaktaranom.com/products/vests-skirts00001,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00008,200,,,https://poshaktaranom.com/products/blouses00008,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00007,200,,,https://poshaktaranom.com/products/blouses00007,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00006,200,,,https://poshaktaranom.com/products/blouses00006,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00005,200,,,https://poshaktaranom.com/products/blouses00005,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00004,200,,,https://poshaktaranom.com/products/blouses00004,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00003,200,,,https://poshaktaranom.com/products/blouses00003,yes,
WHOLESALE,https://poshaktaranom.com/products/kaftans00001,200,,,https://poshaktaranom.com/products/kaftans00001,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00002,200,,,https://poshaktaranom.com/products/blouses00002,yes,
WHOLESALE,https://poshaktaranom.com/products/blouses00001,200,,,https://poshaktaranom.com/products/blouses00001,yes,
WHOLESALE,https://poshaktaranom.com/blog/wholesale-summer-manto-restock-1405,200,,,https://poshaktaranom.com/blog/wholesale-summer-manto-restock-1405,yes,
WHOLESALE,https://poshaktaranom.com/blog/wholesale-womens-shirt-trends-1405,200,,,https://poshaktaranom.com/blog/wholesale-womens-shirt-trends-1405,yes,
